command,action
jump if you interpret a gap,jump
jump if you regard a gap,jump
jump if you watch a gap,jump
jump if you see to it a gap,jump
bound far forward,jump
stand out far forward,jump
leap far forward,jump
spring far forward,jump
start far forward,jump
skip far forward,jump
alternate far forward,jump
rise far forward,jump
aim a hop over,jump
lead a hop over,jump
demand a hop over,jump
fill a hop over,jump
involve a hop over,jump
carry a hop over,jump
shoot a hop over,jump
consume a hop over,jump
have a hop over,jump
study a hop over,jump
direct a hop over,jump
look at a hop over,jump
call for a hop over,jump
learn a hop over,jump
guide a hop over,jump
take on a hop over,jump
require a hop over,jump
choose a hop over,jump
read a hop over,jump
deal a hop over,jump
consider a hop over,jump
claim a hop over,jump
need a hop over,jump
acquire a hop over,jump
get a hop over,jump
pick out a hop over,jump
accept a hop over,jump
select a hop over,jump
remove a hop over,jump
assume a hop over,jump
bring a hop over,jump
take away a hop over,jump
necessitate a hop over,jump
bound in place,jump
stand out in place,jump
leap in place,jump
spring in place,jump
start in place,jump
skip in place,jump
alternate in place,jump
rise in place,jump
jump in identify,jump
jump in locate,jump
jump in put,jump
jump in rate,jump
jump in set,jump
jump in lay,jump
jump in station,jump
jump in send,jump
jump in invest,jump
jump in direct,jump
bound and keep moving,jump
stand out and keep moving,jump
leap and keep moving,jump
spring and keep moving,jump
start and keep moving,jump
skip and keep moving,jump
alternate and keep moving,jump
rise and keep moving,jump
jump and restrain moving,jump
jump and go along moving,jump
jump and maintain moving,jump
jump and continue moving,jump
jump and go on moving,jump
jump and observe moving,jump
jump and celebrate moving,jump
jump and prevent moving,jump
jump and hold moving,jump
jump and keep move,jump
jump and keep motivate,jump
jump and keep go,jump
jump and keep prompt,jump
jump and keep impress,jump
jump and keep proceed,jump
jump and keep travel,jump
jump and keep strike,jump
jump and keep act,jump
alter color,change_color
vary color,change_color
exchange color,change_color
convert color,change_color
throw color,change_color
vary the color,change_color
change the color,change_color
lurch color,change_color
budge color,change_color
stir color,change_color
transfer color,change_color
pitch color,change_color
alter to a new color,change_color
vary to a new color,change_color
exchange to a new color,change_color
convert to a new color,change_color
shift to a different color,change_color
throw to a different color,change_color
change to a different color,change_color
specify a new color,change_color
put a new color,change_color
set up a new color,change_color
place a new color,change_color
lay a new color,change_color
fix a new color,change_color
prepare a new color,change_color
adjust a new color,change_color
plant a new color,change_color
determine a new color,change_color
adapt the color,change_color
blame a different color,change_color
peck a different color,change_color
clean a different color,change_color
take a new color,change_color
pick out a new color,change_color
translate the color,change_color
alter the appearance,change_color
vary the appearance,change_color
exchange the appearance,change_color
convert the appearance,change_color
alter to another color,change_color
vary to another color,change_color
exchange to another color,change_color
convert to another color,change_color
throw your color,change_color
change your color,change_color
adapt to a new color,change_color
lurch to another color,change_color
budge to another color,change_color
stir to another color,change_color
transfer to another color,change_color
pitch to another color,change_color
blame a new color,change_color
peck a new color,change_color
clean a new color,change_color
translate into a different color,change_color
vary your appearance,change_color
change your appearance,change_color
alter your current color,change_color
vary your current color,change_color
exchange your current color,change_color
convert your current color,change_color
specify the color to something new,change_color
put the color to something new,change_color
set up the color to something new,change_color
place the color to something new,change_color
lay the color to something new,change_color
fix the color to something new,change_color
prepare the color to something new,change_color
adjust the color to something new,change_color
plant the color to something new,change_color
determine the color to something new,change_color
"if you can, alter color",change_color
"if you can, vary color",change_color
"if you can, exchange color",change_color
"if you can, convert color",change_color
throw into a different color,change_color
change into a different color,change_color
translate your color,change_color
adapt the color setting,change_color
adjust the color specify,change_color
adjust the color put,change_color
adjust the color set,change_color
adjust the color set up,change_color
adjust the color place,change_color
adjust the color lay,change_color
adjust the color fix,change_color
adjust the color prepare,change_color
adjust the color adjust,change_color
adjust the color plant,change_color
adjust the color determine,change_color
prefer a new color,change_color
blame another color,change_color
peck another color,change_color
clean another color,change_color
lurch your color,change_color
budge your color,change_color
stir your color,change_color
transfer your color,change_color
pitch your color,change_color
translate into another color,change_color
take a different color,change_color
choose a different color,change_color
pick out a different color,change_color
alter your color quickly,change_color
vary your color quickly,change_color
exchange your color quickly,change_color
convert your color quickly,change_color
"if needed, alter color",change_color
"if needed, vary color",change_color
"if needed, exchange color",change_color
"if needed, convert color",change_color
vary your color immediately,change_color
change your color immediately,change_color
take sure to change the color,change_color
induce sure to change the color,change_color
cause sure to change the color,change_color
form sure to change the color,change_color
hit sure to change the color,change_color
arrive at sure to change the color,change_color
have sure to change the color,change_color
build sure to change the color,change_color
lay down sure to change the color,change_color
gain sure to change the color,change_color
hold sure to change the color,change_color
establish sure to change the color,change_color
draw sure to change the color,change_color
name sure to change the color,change_color
create sure to change the color,change_color
produce sure to change the color,change_color
earn sure to change the color,change_color
get to sure to change the color,change_color
get sure to change the color,change_color
stimulate sure to change the color,change_color
work sure to change the color,change_color
prepare sure to change the color,change_color
do sure to change the color,change_color
construct sure to change the color,change_color
reach sure to change the color,change_color
fix sure to change the color,change_color
bring in sure to change the color,change_color
cook sure to change the color,change_color
give sure to change the color,change_color
make sure to alter the color,change_color
make sure to vary the color,change_color
make sure to exchange the color,change_color
make sure to convert the color,change_color
alter color to something else,change_color
vary color to something else,change_color
exchange color to something else,change_color
convert color to something else,change_color
adapt color settings,change_color
shift the current color,change_color
throw the current color,change_color
change the current color,change_color
translate into a new color,change_color
"if necessary, alter color",change_color
"if necessary, vary color",change_color
"if necessary, exchange color",change_color
"if necessary, convert color",change_color
alter into a new color,change_color
vary into a new color,change_color
exchange into a new color,change_color
convert into a new color,change_color
lurch into a different color,change_color
budge into a different color,change_color
stir into a different color,change_color
transfer into a different color,change_color
pitch into a different color,change_color
vary your color instantly,change_color
change your color instantly,change_color
alter your color right away,change_color
vary your color right away,change_color
exchange your color right away,change_color
convert your color right away,change_color
change your color correct away,change_color
shift the color immediately,change_color
throw the color immediately,change_color
change the color immediately,change_color
"if unsure, alter color",change_color
"if unsure, vary color",change_color
"if unsure, exchange color",change_color
"if unsure, convert color",change_color
alter the current color,change_color
specify a brand new color,change_color
put a brand new color,change_color
set up a brand new color,change_color
place a brand new color,change_color
lay a brand new color,change_color
fix a brand new color,change_color
prepare a brand new color,change_color
adjust a brand new color,change_color
plant a brand new color,change_color
determine a brand new color,change_color
blame a fresh color,change_color
peck a fresh color,change_color
clean a fresh color,change_color
alter to a random color,change_color
vary to a random color,change_color
exchange to a random color,change_color
convert to a random color,change_color
shift your color as needed,change_color
throw your color as needed,change_color
change your color as needed,change_color
switch your color as take,change_color
switch your color as want,change_color
switch your color as call for,change_color
switch your color as demand,change_color
switch your color as involve,change_color
switch your color as need,change_color
switch your color as necessitate,change_color
switch your color as require,change_color
lurch your appearance,change_color
budge your appearance,change_color
stir your appearance,change_color
transfer your appearance,change_color
pitch your appearance,change_color
vary the color setting,change_color
change the color setting,change_color
alter the color specify,change_color
alter the color put,change_color
alter the color set,change_color
alter the color set up,change_color
alter the color place,change_color
alter the color lay,change_color
alter the color fix,change_color
alter the color prepare,change_color
